id	type	latin	common	file
Acoerulea_195	dicot	Aquilegia coerulea		
Alyrata_107	dicot	Arabidopsis lyrata		
Athaliana_167	dicot	Arabidopsis thaliana		
Brapa_197	dicot	Brassica rapa		
Cclementina_165	dicot	Citrus clementina		
Cpapaya_113	dicot	Carica papaya		
Crubella_183	dicot	Capsella rubella		
Csativus_122	dicot	Cucumis sativus		
Csinensis_154	dicot	Citrus sinensis		
Egrandis_201	dicot	Eucalyptus grandis		
Gmax_109	dicot	Glycine max		
Lusitatissimum_200	dicot	Linum usitatissimum		
Mdomestica_196	dicot	Malus domestica		
Mesculenta_147	dicot	Manihot esculenta		
Mguttatus_140	dicot	Mimulus guttatus		
Mtruncatula_135	dicot	Medicago truncatula		
Ppersica_139	dicot	Prunus persica		
Ptrichocarpa_156	dicot			
Pvulgaris_186	dicot			
Rcommunis_119	dicot			
Thalophila_173	dicot			
Vvinifera_145	dicot			
Bdistachyon_192	monocot	Brachypodium distachyon		
Osativa_193	monocot			
Sbicolor_79	monocot			
Sitalica_164	monocot			
Zmays_181	monocot			
