id	type	latin	common	file
Acoerulea_195	dicot	Aquilegia coerulea	Columbine	
Alyrata_107	dicot	Arabidopsis lyrata	Lyrate rockcress	
Athaliana_167	dicot	Arabidopsis thaliana	Thale cress	
Brapa_197	dicot	Brassica rapa	Turnip mustard	
Cclementina_165	dicot	Citrus clementina	Clementine mandarin	
Cpapaya_113	dicot	Carica papaya	Papaya	
Crubella_183	dicot	Capsella rubella	Red shepherd's purse	
Csativus_122	dicot	Cucumis sativus	Cucumber	
Csinensis_154	dicot	Citrus sinensis	Orange	
Egrandis_201	dicot	Eucalyptus grandis	Eucalyptus	
Gmax_109	dicot	Glycine max	Soybean	
Lusitatissimum_200	dicot	Linum usitatissimum	Flax	
Mdomestica_196	dicot	Malus domestica	Apple	
Mesculenta_147	dicot	Manihot esculenta	Cassava	
Mguttatus_140	dicot	Mimulus guttatus	Monkeyflower	
Mtruncatula_135	dicot	Medicago truncatula	Barrel Medic	
Ppersica_139	dicot	Prunus persica	Peach	
Ptrichocarpa_156	dicot	Populus trichocarpa	Western poplar	
Pvulgaris_186	dicot	Phaseolus vulgaris	Common Bean	
Rcommunis_119	dicot	Ricinus communis	Castor oil plant	
Thalophila_173	dicot	Thellungiella halophil	Thellungiella	
Vvinifera_145	dicot	Vitis vinifera	Grape vine	
Bdistachyon_192	monocot	Brachypodium distachyon	Purple false brome	
Osativa_193	monocot	Oryza sativa	Rice	
Sbicolor_79	monocot	Sorghum bicolor	Sorghum	
Sitalica_164	monocot	Setaria italica	Foxtail millet	
Zmays_181	monocot	Zea mays	Corn	
